post_id,url,description,create_time,digg_count,share_count,collect_count,comment_count,play_count,video_duration,hashtags,profile_username,profile_followers,is_verified,region,_search_keyword,_match_type,_match_sources,_match_source,_topic,_transcript
7432106263783312686,https://www.tiktok.com/@jimheathtv/video/7432106263783312686,Election guru Nate Silver's disasterous 2016 forecast. #natesilver #analysis #election #election24,2024-11-01T00:48:09.000Z,57,4,11,2,18700,51,election24,Jim Heath,646,False,US,nate silver forecast,source,Nate Silver,"description, transcript",YES,"And Nate, tell us where you have your final forecast as we're coming into the evening. So we wound up with Clinton having a 71% chance of winning, so better than two and three. And we'll update that as the night goes along, as you guys, ABC News calls states. The people I follow think the returns look good so far for Clinton in Florida, of course, which is a must-win state for Trump. Nate Silver is joining us right now, and Nate, a pretty dramatic change in your forecast now. Well, it's not about our forecast, it's about the fact that we haven't had any swing states called yet, and those are states that Clinton was supposed to win. Was supposed to win Michigan, Pennsylvania, Wisconsin. Those states are all correlated, meaning that if you have problems with white working-class voters, if you don't turn out African-Americans, then you potentially lose those states or win by a razor-thin margin. I mean, she is in profound trouble right now in the Electoral College."
7489332091855834390,https://www.tiktok.com/@opentodebate.or/video/7489332091855834390,Nate Silver predicts the 2024 election to be a -toss-up.- #opentodebate #2024election #politics (1),2025-04-04T05:53:42.000Z,4,,1,1,1086,58,,Open to Debate,99,False,US,nate silver forecast,source,Nate Silver,description,YES,"There is a 47.2% chance that Kamala Harris wins, and a 52.5% chance that Donald Trump wins. How can you say that? First of all, Trump wins the ties, because the Electoral College, if the popular vote is tied Harris plus one or Harris plus two, he wins. It's a lot easier to lose a football game when the other team gets a free field goal. The incumbent president is very unpopular. Typically when incumbent presidents are very unpopular, they win for re-election, then they lose. Democrats had the clever idea of tagging him out, which has definitely improved the situation. But all around the world, incumbent parties are losing. There's been, I think, a backlash against some of the excesses of 2019 and 2020, and Kamala Harris is someone who represented some of those excesses. So there are all these kind of fundamental kind of glacial factors that work against her, and yet it's a toss-up."
7433125912566074654,https://www.tiktok.com/@timmytimmy1982/video/7433125912566074654,Nate Silvers prediciton modelsCould a tied popular vote favor Trump? Explore the electoral college dynamics with Nate Silver’s model. 🗺️ #Vote2024 #electioninsights #natesilver  #trump #polls #vote #kamala #trump2024 #news,2024-11-03T18:45:06.000Z,41,4,3,0,7017,118,"vote2024, electioninsights, natesilver, trump, polls, vote, kamala, trump2024, news",timmyC04🇵🇭/🇺🇸,177,False,US,nate silver forecast,source,Nate Silver,"description, hashtags, transcript",YES,"So this is a job for Nate Silver. So who's really ahead in the polls as we approach the 2024 presidential election? Nate Silver's election model provides a breakdown of where things stand between Vice President Kamala Harris and former President Donald Trump. Let's start with the national polling average. The model shows Harris maintaining a narrow lead over Trump, 0.5% to 47.6%. Throughout the campaign, notable events like the DNC and the debate shaped the dynamics, but the trend reveals a remarkable tight race. Now, on to the critical thinking. How does the Electoral College play into this? The data demonstrates a clear Electoral College bias favoring Trump. If the popular vote is tied or slightly tips towards D plus zero to Trump holds, 85% probability of winning due to the strategic state's advantages. This shift dramatically favor only when the margins widen beyond D. Let's look back where the Democrats stood two days before the election. In 2020, President Joe Biden was ahead in most polls, maintaining a more stable lead over Trump, especially in key swing states. This ultimately translated into clear victory. In contrast, Hillary Clinton's 2016 experience was more similar to Harris' situation, despite leading in national polls. A small popular vote edge wasn't enough to secure her Electoral College win, leading to narrow losses. In scenarios where Harris secures the popular vote lead of D plus six or higher, her chances of skyrocket to over 90% with electoral tally of at least 317. Conversely, if Trump edges into the lead, his path becomes dominant, capturing 348 electoral votes in some simulations. What does this mean for the final stretch? In razor thin races like this, winning key battleground states and boosting turnout in lean margin regions will be decisive for both candidates. Stay tuned and stay tuned for more insights as Election Day approaches."
7115129091451489582,https://www.tiktok.com/@abcnews/video/7115129091451489582,"Republicans are favored to win the House in November, while the Senate is a toss-up, according to the latest 2022 election forecast by @abcnews’ @fivethirtyeight. Nate Silver breaks it all down. #politics #forecast #fivethirtyeight #news #midterms #elections #natesilver",2022-06-30T20:14:49.000Z,344,7,12,26,26800,100,"politics, forecast, fivethirtyeight, news, midterms, elections, natesilver",ABC News,15300000,True,US,nate silver forecast,source,"fivethirtyeight, FiveThirtyEight, Nate Silver","description, hashtags, transcript",YES,"Today, this is Nate Silver with FiveThirtyEight, and we just launched our midterms forecast, which tells a somewhat complicated picture. In the House, things are a little bit clearer. Republicans are big favorites in the House, 85 to 90 percent chance of winning the House, our model thinks, and this reflects kind of the overall political environment. Typically, the president's party, Democrats in this case, lose seats at the midterms. President Biden's unpopular. His approval rating is no longer even cracking 40 percent. Races we've seen so far, like in Virginia last year, tended to favor the GOP, so all kind of like the big global signs about the political environment favor Republicans. That's going to be reflected most likely in a GOP picking up the House. But the Senate is a different story. Senate races are more individualized. In a lot of races, you have GOP candidates who are problematic in some respect or another. They may have said very conservative, unpopular things in the past. They may be inexperienced. They may have some type of scandal or all of the above. And so therefore, they might sacrifice some seats that they probably ought to win in an environment like this. And so we have the Senate as a toss up, meaning about 50-50. Every race can make a difference there. Finally, governorships. Governorships are more on a state by state basis. In general, Democrats are performing pretty well in the Midwest. They're likely to keep the governor's seats in Michigan, Wisconsin, probably Pennsylvania. Less success in the South. If you're a Beto O'Rourke fan, he's probably not going to win in Texas. Stacey Abrams is a fairly big underdog in Georgia. Ron DeSantis will probably win in Florida, another term there, the GOP governor. So a little bit more of a mixed message than you might think. If you want to learn more, check out the forecast at FiveThirtyEight.com. It updates literally every time we get a new poll."
7403020023473753376,https://www.tiktok.com/@tronto1001/video/7403020023473753376,Nate Silver Breaks Down Why FiveThirtyEight's 2024 Model Seems Wrong,2024-08-14T15:55:00.000Z,8,,1,2,839,61,,tronto1001,12800,False,US,nate silver forecast,source,"FiveThirtyEight, Nate Silver","description, transcript",YES,"I saw a headline on Mediaite the other day suggesting that you were displeased that FiveThirtyEight's been, like the forecast has been suspended. And you suggested, at least according to Mediaite, that this is being done for political reasons. Can you explain that? They had said back in July that their model had Biden doing substantially better than Kamala Harris, which I don't think made any sense at the time and definitely doesn't make any sense now, given the polling. I don't know why they don't have the model back on. It's one of the most fascinating periods in American political history. I mean, the amount of attention paid to anything having to do with the horse race and politics and polls is very high right now. If you leave a brand and they get to keep the brand name, I mean, FiveThirtyEight was, I'm no longer associated with it, but they have the brand name. It's a little bit of an awkward spot if you think they're putting out a product that doesn't live up to, I mean, I'm a demanding person, but it doesn't live up to the standards that you created."
7432541799333317930,https://www.tiktok.com/@jonathan.interviews/video/7432541799333317930,"Model validation techniques are critically important in data science work. Here, Nate Silver tests the empirical distribution of US election polling against what we would expect based on  the expected numerical distribution. #กรีนสกรีน  #datascience #datascientist #dataanalytics #2024elections #datasciencetok #statistics ",2024-11-02T04:58:21.000Z,54300,7571,5380,2311,1500000,211,"กรีนสกรีน, datascience, datascientist, dataanalytics, 2024elections, datasciencetok, statistics",Data Science Interviews,30600,False,TH,nate silver forecast,source,Nate Silver,"description, transcript",YES,"Nate Silver just came out with a pretty bombshell report suggesting that is almost guaranteed that the U.S. polling data is incorrect. In fact, he argues the probability that the U.S. election polling data is correct is less than 1 in 9 trillion. Now, he is using a data model validation technique that if you're a data scientist and you're running some fairly complicated models with weightings and different covariates and structures, this is really good practice. Now, there have been thousands of U.S. election polls in the United States, and they tend to have a margin of error of around like plus or minus 3 or 4 percentage points. But because this is essentially a one-to-one matchup, being plus or minus 3 points means that it should be a 6 percentage point gap between the two candidates. Right, so if they're actually tied, but you get a plus 3 errors per se like Kamala Harris, that takes away 3 from Donald Trump, and so the gap should be about 6. So when you think about a polling's margin of error or a confidence interval when you're doing a statistical model is that under repeated sampling, so if you repeat this experiment or if you repeat these polls and these surveys like over and over again, you should get a distribution of results that covers the span of this margin of error. So if the race was tied, you should get polls that are effectively normally distributed around a zero gap, but where there are outliers of plus 3, minus 3. And what Nate showed was if given the sample sizes of these polls, we should have seen no more than 55% of the polls being within 2.5 percentage points if the race was actually tied. So if the race was tied, we would expect to see the maximum number of close polls, right? So we don't even have to worry about the fact of the cases where they're not tied. But if the case was tied, we should see no more than 55% of the polls being within 2.5%. But in reality, we're seeing more than 80% of the polls that are being within plus or minus 2.5 percentage points. And given the number of polls and the sample size of these polls, Nate estimates the probability of this happening by random chance alone would be only 1 in 9.5 trillion. So the problem here is that it's really easy to lie with statistics, and this comes up with data scientists all the time when we're dealing with our stakeholders that basically want to hear the results that they want to hear. So these pollsters are going out and they're surveying people, but then they apply weights, and the weights are determined via a likely voter model that they have complete control over. So if they get a result that should be a normal outlier in random sampling that says, you know, Harris is up plus 4 or Trump is up plus 4, they will put their finger on the scale and they'll adjust these likely voter models so that it comes out closer to plus 1, minus 1 in either direction. And so what we're seeing here is that the empirical distribution of polling results is not what we would expect based on characteristics of the normal distribution and of the surveys and the sample sizes, and that is a huge red flag that there is a problem with the polling."
7627952693948058910,https://www.tiktok.com/@facethenation/video/7627952693948058910,"Sen. Mark Warner (D-VA) said Sunday that “even if President Trump declares victory"" in Iran, ""high gas prices will be with us for months” due to the economic shock of the war. “Asian countries are shutting down their economies one day a week because the price of oil is skyrocketing so much,” he said. “We buy a lot of stuff from Taiwan, South Korea, and countries around Asia. All those prices are going up.” #gas #poll #iran #war #trump ",2026-04-12T19:12:34.000Z,168,1,13,13,10700,75,"gas, poll, iran, war, trump",Face The Nation,844700,True,US,nate silver forecast,generic_only,,"description, hashtags",YES,"We see broad dissatisfaction with how the administration's handling the war. But as for, you know, the aspirations, Americans broadly support them. 87% say the Strait of Hormuz needs to be reopened. 81% want to ensure freedom for the Iranian people. 76% want to permanently stop Iran's nuclear program. 55% want the current leaders ousted before we end the war. Do you sort of want to see us finish what America has started here? Can you really just hit the brakes? I agree with all of the goals of the American people, but when you take, ask the next question, are you willing to put your sons and daughters in a ground war in the Middle East to get that enriched uranium out? I've not found any volunteers on that. The Strait of Hormuz was open before this war started. Gas in Virginia was $2.81 40 days ago. It is over $4 now. Even if president declares victory tomorrow, those high gas prices will be with us for months. And it's natural gas, not just gasoline. Asian countries are shutting down their economies one day a week because the price of oil is skyrocketing so much. We buy a lot of stuff from Taiwan, South Korea, and countries around Asia. All those prices are going up."
7433571711901011242,https://www.tiktok.com/@kennyjames.co/video/7433571711901011242,New National Polling Data Just In!  #DonaldTrump #kamalaharris #election #poll #vote ,2024-11-04T23:34:51.000Z,1358,79,146,90,70700,79,"donaldtrump, kamalaharris, election, poll, vote",Kenny James,29000,False,US,marist poll,source,Marist,"description, hashtags, transcript",YES,"Okay guys we've got the latest national polling data that just came in. It is a PBS NPR Marist poll. It is a national poll. Now this data is coming in less than 24 hours from the actual elections. This data is coming from likely polled individuals on a national scale. It is showing Kamala Harris at a four point lead over Donald Trump. Kamala Harris at 51 and Donald Trump at 47. Now there is a very slight margin of error but at this point if she continues down this road as we all suspect she will, Donald is done for. But there's more. Now one of the bigger concerns here that the Trump campaign is extremely worried about is Kamala Harris is now, look at this, she's eating away at the mail votes. Now as you can see Trump had a lead with men of 57% in October. Now it's down to just 51 with Harris closing in at 47. And of course Kamala Harris is holding a strong lead with women nationally. I want everyone to save this video and mark my word. Elon and Trump are panicking. Elon Musk is now begging men please get out and vote. Please. Because the truth of the matter is their lives actually depend on them winning this election."
7574910567475891469,https://www.tiktok.com/@pbsnews/video/7574910567475891469,"With the midterm elections now less than a year away, a new PBS News/NPR/Marist poll has signs of hope for Democrats and a few red flags for Republicans. Amna Nawaz and NPR's Domenico Montanaro break down the numbers and discuss what's resonating with voters. #pbsnewshour #newshour #pbsnews #politics #midterms #elections #npr #marist #democrat #republican",2025-11-20T21:30:00.000Z,1428,37,65,29,27200,322,"pbsnewshour, newshour, pbsnews, politics, midterms, elections, npr, marist, democrat, republican",pbsnews,3000000,True,US,marist poll,source,"Marist, marist","description, hashtags, transcript",YES,"With the midterm elections now less than a year away, a new PBS News-NPR-Marist poll has signs of hope for Democrats and a few red flags for Republicans. So what is resonating with voters? NPR senior political editor and correspondent Domenico Montanaro is here to break down the numbers. Good to see you. Hey, good to see you. Let's jump in. So Democrats came off some big election wins in New Jersey and New York City and Virginia a couple of weeks ago. Seems like they have an advantage. Midterms are still a long way off. But what does the poll show? And in a lot of places across the country, up and down the ballot, really. And I think that what this poll shows is that Democrats have a huge advantage right now. And the real issue is because of affordability. But what the poll shows is by 55 to 41 margin, Democrats, people say that they would pick a Democrat in their district if the midterm elections were held today. Now, why is that important? It's a plus 14 advantage on what's known as the congressional ballot. When you have that large of a lead, it is really indicative of a potential wave. I mean, if you look back to 2022, for example, Democrats had only between an average of zero to four points. They lost nine seats in 2018. Democrats had an advantage between six and 12 points in our poll, and they obviously won big 40 seat advantage. Now, most people don't expect that we're going to see a wave of that kind next year. But right now starts out with Democrats with a big advantage. And a big piece of that is because of independents and how they've slid away. I mean, a 61 to 28 percent margin, independents say that they would pick a Democrat. These are major red flags and warning signs for the Republican Party right now. And we know a lot can happen in the next year. But that also includes whatever happens on this redistricting front. We've seen efforts by President Trump and the Republicans, counter efforts by the Democrats in California. This is all tied up in the courts right now. But does any of this make the Democratic polling advantage moot? You know, it depends on how this winds up shaking out. But frankly, we're seeing some evidence in the past week or so that this could boomerang on Republicans potentially. You know, Trump wanted to get five seats out of Texas. A court this week said that Texas's maps got to go back to the drawing board. Now, eventually they might get what they want, but they're also banking a lot on Latinos in South Texas having moved toward Donald Trump. And what we're seeing in our polling in the elections is that Latinos have really slid away from Donald Trump and Republicans. They moved over because of affordability. And what we're hearing from a lot of those voters is that they don't feel that Trump has done enough to address lowering costs and that they are upset with how he's approached deportations in this country, feeling like, you know, they were OK with supporting criminals, but not OK with deporting people in their communities in the same way that they see it being conducted. And like we've talked about, prices are the real issue, right? I mean, when you look at the issues inside our poll, 57 percent say that lowering prices should be the administration's top priority. Nothing else comes close. You can see there immigration, 16 percent in second. And even a plurality of Republicans there say that lowering prices should be Trump's top priority. Meanwhile, if you look at the Republican Party, we have seen some rifts. We've been covering Marjorie Taylor Greene's break with the president, him calling her a traitor. But how are Americans looking at the president's performance right now? Yeah, I think that this is a huge reason why maybe there's an opening for other Republicans to show some independence. I think they're going to be watching what happens with Marjorie Taylor Greene to see if she suffers any political consequences, as Trump says that she will. If she doesn't, I wonder what that's going to mean as Trump continues to look further and further like a lame duck and is on the wrong side of these issues. In the polling here, only 39 percent say that they approve of the job that Trump is doing. And when you look inside the numbers, only 24 percent of independents approve of the job he's doing. Now, the other number, as you see, nine in 10 Republicans still sticking with the president. So it continues to put Republican candidates in a vice, because we're seeing that when Trump is not on the ballot, Republican MAGA base voters don't necessarily show up. We heard from a lot of Republican voters in this poll who said that they are pro-Trump, but they're not necessarily voting for Republican candidates. That is a real problem for them, because they need to be able to show some independence from Trump to be able to say, to appeal to those crossover voters and to independents. But they can't alienate the base. Can I ask you quickly about one more thing we saw in here? Some bigger frustrations among American voters with political institutions and beyond. What do you take away from that? People don't like anything. If you look at what they think about the confidence in institutions, really bad numbers here for almost everybody, including us in the media, by the way, only 25 percent approve of what we're doing. Full results, of course, always available online. Domenico Montanaro, NPR, always good to see you. Thank you. Thank you. Thank you."
7626462770850008333,https://www.tiktok.com/@abc7ny/video/7626462770850008333,NYC Mayor Zohran Mamdani on Wednesday responded to a new Marist poll that found that 48% of New Yorkers approve of his performance.#news #nyc #zohranmamdani,2026-04-08T18:51:15.000Z,6198,65,167,198,109300,58,"news, nyc, zohranmamdani",ABC7NY,1300000,True,US,marist poll,source,Marist,description,YES,"You know, I will always leave the grades to New Yorkers themselves. What I will say is that we are coming to the end of 100 days in office, and we have sought to make this period one where we provide New Yorkers with a glimpse as to what these next four years will look like. We've looked to be ambitious, unrelenting, and move at the same speed as New Yorkers do. And so when I stand here alongside our commissioner, our deputy mayor, we do so acknowledging the $9.3 million we've won in settlements, the more than 6,000 apartments that are currently being repaired as part of the more than $30 million we've won from bad landlords in the city, the $1.2 billion we've won in partnership with the governor to deliver universal childcare in this city. And doing all of this while we also fill in more than 100,000 potholes in the city. And I will end by quoting the poet Pitbull, because after DOT has finished those 100,000 potholes, they are now going to pave more than 1,000 miles of road, which Pitbull would describe accurately as the distance from New York City to Miami."
