month,tk_pm_count,tk_polls_count,tk_total,tk_polls_share,tk_pm_views,tk_polls_views,tk_polls_view_share,yt_pm_count,yt_polls_count,yt_total,yt_polls_share,yt_pm_views,yt_polls_views,yt_polls_view_share
2020-01,0,0,0,,0,0,,8,11,19,0.5789,182248,7021,0.0371
2020-02,0,0,0,,0,0,,12,10,22,0.4545,79387,217258,0.7324
2020-03,0,0,0,,0,0,,23,13,36,0.3611,281836,50871,0.1529
2020-04,0,0,0,,0,0,,18,11,29,0.3793,159618,378091,0.7032
2020-05,0,0,0,,0,0,,22,11,33,0.3333,1032334,275844,0.2109
2020-06,0,0,0,,0,0,,27,31,58,0.5345,2482125,1951613,0.4402
2020-07,0,0,0,,0,0,,20,25,45,0.5556,506034,1867653,0.7868
2020-08,0,0,0,,0,0,,22,37,59,0.6271,1004936,1631862,0.6189
2020-09,0,0,0,,0,0,,23,51,74,0.6892,776151,1312493,0.6284
2020-10,0,0,0,,0,0,,44,105,149,0.7047,2378034,5494889,0.6979
2020-11,1,1,2,0.5000,27500,380500,0.9326,39,74,113,0.6549,2325538,4942571,0.6800
2020-12,0,0,0,,0,0,,8,10,18,0.5556,459952,128077,0.2178
2021-01,1,0,1,0.0000,15100,0,0.0000,8,26,34,0.7647,66487,477837,0.8779
2021-02,0,0,0,,0,0,,9,4,13,0.3077,64825,80248,0.5532
2021-03,0,0,0,,0,0,,11,5,16,0.3125,65985,2302,0.0337
2021-04,0,0,0,,0,0,,4,3,7,0.4286,16983,281,0.0163
2021-05,0,0,0,,0,0,,3,4,7,0.5714,19830,90830,0.8208
2021-06,0,0,0,,0,0,,13,10,23,0.4348,43065,248232,0.8522
2021-07,0,0,0,,0,0,,11,6,17,0.3529,155687,1149759,0.8807
2021-08,0,0,0,,0,0,,1,9,10,0.9000,3543,262546,0.9867
2021-09,0,0,0,,0,0,,4,9,13,0.6923,57936,123063,0.6799
2021-10,0,0,0,,0,0,,0,6,6,1.0000,0,9694,1.0000
2021-11,0,1,1,1.0000,0,104000,1.0000,7,13,20,0.6500,24354,48054,0.6637
2021-12,0,0,0,,0,0,,3,5,8,0.6250,98963,77105,0.4379
2022-01,0,0,0,,0,0,,6,7,13,0.5385,34370,181641,0.8409
2022-02,0,1,1,1.0000,0,4927,1.0000,7,10,17,0.5882,46457,83596,0.6428
2022-03,0,0,0,,0,0,,2,8,10,0.8000,1385,220603,0.9938
2022-04,0,0,0,,0,0,,2,18,20,0.9000,15723,441018,0.9656
2022-05,0,0,0,,0,0,,1,20,21,0.9524,12859,179533,0.9332
2022-06,0,3,3,1.0000,0,200000,1.0000,6,12,18,0.6667,12865,174521,0.9313
2022-07,0,0,0,,0,0,,10,27,37,0.7297,53248,288094,0.8440
2022-08,0,0,0,,0,0,,15,16,31,0.5161,187486,403907,0.6830
2022-09,0,0,0,,0,0,,8,35,43,0.8140,65367,306384,0.8242
2022-10,0,0,0,,0,0,,26,60,86,0.6977,596839,231034,0.2791
2022-11,0,2,2,1.0000,0,79258,1.0000,25,51,76,0.6711,107908,1058626,0.9075
2022-12,0,2,2,1.0000,0,16249,1.0000,1,19,20,0.9500,366,1104670,0.9997
2023-01,0,0,0,,0,0,,3,3,6,0.5000,43626,488,0.0111
2023-02,1,0,1,0.0000,780,0,0.0000,8,8,16,0.5000,119016,312819,0.7244
