post_id,url,description,create_time,digg_count,share_count,collect_count,comment_count,play_count,video_duration,hashtags,profile_username,profile_followers,is_verified,region,_search_keyword,_match_type,_match_sources,_match_source,_topic,_transcript
7432106263783312686,https://www.tiktok.com/@jimheathtv/video/7432106263783312686,Election guru Nate Silver's disasterous 2016 forecast. #natesilver #analysis #election #election24,2024-11-01T00:48:09.000Z,57,4,11,2,18700,51,election24,Jim Heath,646,False,US,nate silver forecast,source,Nate Silver,"description, transcript",YES,"And Nate, tell us where you have your final forecast as we're coming into the evening. So we wound up with Clinton having a 71% chance of winning, so better than two and three. And we'll update that as the night goes along, as you guys, ABC News calls states. The people I follow think the returns look good so far for Clinton in Florida, of course, which is a must-win state for Trump. Nate Silver is joining us right now, and Nate, a pretty dramatic change in your forecast now. Well, it's not about our forecast, it's about the fact that we haven't had any swing states called yet, and those are states that Clinton was supposed to win. Was supposed to win Michigan, Pennsylvania, Wisconsin. Those states are all correlated, meaning that if you have problems with white working-class voters, if you don't turn out African-Americans, then you potentially lose those states or win by a razor-thin margin. I mean, she is in profound trouble right now in the Electoral College."
7592294296104029453,https://www.tiktok.com/@the_breath_geek/video/7592294296104029453,"According to a 2025 analysis by Nate Silver using the 2022 Cooperative Election Study: . 🔹 Conservatives scored 68/100 on mental health 🔹 Liberals scored just 53 . And conservatives earning $30K/year were as happy as liberals making $100K That means happiness isn’t just about income It’s about ideology and mindset One key difference? . Liberals tend to score higher in external locus of control . – Believing systems and others are responsible for fixing things – Feeling powerless to change their own outcomes – And often blaming instead of acting . This creates victim culture, burnout, and chronic dissatisfaction I’m not saying being liberal is wrong I’m saying we deserve to be happier But that starts with rebuilding personal agency 👇 Drop CENTERED if you’re ready to own your power—regardless of your politics . . . . . #NateSilverStudy #LocusOfControl #VictimCulture #MentalHealthCrisis #PoliticalPsychology #MindsetMatters #EmpowermentOverBlame #HealingStartsWithin #NuancedMentalHealth #CenterNotSides",2026-01-06T17:00:19.000Z,34,2,10,1,392,70,"natesilverstudy, locusofcontrol, victimculture, mentalhealthcrisis, politicalpsychology, mindsetmatters, empowermentoverblame, healingstartswithin, nuancedmentalhealth, centernotsides",Richard L. Blake,10800,False,US,nate silver forecast,source,Nate Silver,"description, transcript",NO,"If you care about mental health, you should also care about politics. Not who you vote for, but how your worldview shapes your well-being. Nate Silver just broke down data from 60,000 people across the political spectrum. And here's what he found. Conservatives rated their mental health 15 points higher than liberals on average. And conservatives making $30,000 per year were just as happy as liberals making $100,000 a year. So no, it's not about the money, it's about mindset. One big reason? Locus of control. The belief about who controls your life. Liberals on average tend to have a more external locus of control. That means problems feel like they're always out there, someone else needs to fix it, systems are to blame, and personal action feels pointless. Here's the problem with that. It leads to learned helplessness, victim culture, and emotional exhaustion. This isn't a dunk. This is a wake-up call. If you care about justice, change, and progress, amazing. Don't lose your sense of agency in the process. Because the truth is, happiness doesn't come from being right, it comes from being empowered."
7521854668838849848,https://www.tiktok.com/@substack/video/7521854668838849848,probability estimates with Nate Silver and Substack co-founder Chris Best,2025-06-30T21:17:50.000Z,10,,1,2,2002,44,,substack,40200,False,US,nate silver forecast,source,Nate Silver,"description, transcript",NO,"I have some probability estimates for you. What is the chance that the winning presidential candidate in 2028 will have a sub-stack? 40%. Okay. What do you think the chances are in the next presidential election, a third party candidate gets more than 10% of the vote? 15%, 17%. That's pretty high. I mean, look, younger people in general have very little reason to really have any affinity toward either of the parties. What's your P2? Oh gosh. Two to 20% still seems like a good range. What is the chance that by the end of 2026, a sub-stack written by AI will be a best seller? I'd go 60%. Not because I think that that's like the way that everything goes. I think it's plausible. What are the chances that Nate Silver wins the World Series of Poker this year? One in 7,000."
7489332091855834390,https://www.tiktok.com/@opentodebate.or/video/7489332091855834390,Nate Silver predicts the 2024 election to be a -toss-up.- #opentodebate #2024election #politics (1),2025-04-04T05:53:42.000Z,4,,1,1,1086,58,,Open to Debate,99,False,US,nate silver forecast,source,Nate Silver,description,YES,"There is a 47.2% chance that Kamala Harris wins, and a 52.5% chance that Donald Trump wins. How can you say that? First of all, Trump wins the ties, because the Electoral College, if the popular vote is tied Harris plus one or Harris plus two, he wins. It's a lot easier to lose a football game when the other team gets a free field goal. The incumbent president is very unpopular. Typically when incumbent presidents are very unpopular, they win for re-election, then they lose. Democrats had the clever idea of tagging him out, which has definitely improved the situation. But all around the world, incumbent parties are losing. There's been, I think, a backlash against some of the excesses of 2019 and 2020, and Kamala Harris is someone who represented some of those excesses. So there are all these kind of fundamental kind of glacial factors that work against her, and yet it's a toss-up."
7433125912566074654,https://www.tiktok.com/@timmytimmy1982/video/7433125912566074654,Nate Silvers prediciton modelsCould a tied popular vote favor Trump? Explore the electoral college dynamics with Nate Silver’s model. 🗺️ #Vote2024 #electioninsights #natesilver  #trump #polls #vote #kamala #trump2024 #news,2024-11-03T18:45:06.000Z,41,4,3,0,7017,118,"vote2024, electioninsights, natesilver, trump, polls, vote, kamala, trump2024, news",timmyC04🇵🇭/🇺🇸,177,False,US,nate silver forecast,source,Nate Silver,"description, hashtags, transcript",YES,"So this is a job for Nate Silver. So who's really ahead in the polls as we approach the 2024 presidential election? Nate Silver's election model provides a breakdown of where things stand between Vice President Kamala Harris and former President Donald Trump. Let's start with the national polling average. The model shows Harris maintaining a narrow lead over Trump, 0.5% to 47.6%. Throughout the campaign, notable events like the DNC and the debate shaped the dynamics, but the trend reveals a remarkable tight race. Now, on to the critical thinking. How does the Electoral College play into this? The data demonstrates a clear Electoral College bias favoring Trump. If the popular vote is tied or slightly tips towards D plus zero to Trump holds, 85% probability of winning due to the strategic state's advantages. This shift dramatically favor only when the margins widen beyond D. Let's look back where the Democrats stood two days before the election. In 2020, President Joe Biden was ahead in most polls, maintaining a more stable lead over Trump, especially in key swing states. This ultimately translated into clear victory. In contrast, Hillary Clinton's 2016 experience was more similar to Harris' situation, despite leading in national polls. A small popular vote edge wasn't enough to secure her Electoral College win, leading to narrow losses. In scenarios where Harris secures the popular vote lead of D plus six or higher, her chances of skyrocket to over 90% with electoral tally of at least 317. Conversely, if Trump edges into the lead, his path becomes dominant, capturing 348 electoral votes in some simulations. What does this mean for the final stretch? In razor thin races like this, winning key battleground states and boosting turnout in lean margin regions will be decisive for both candidates. Stay tuned and stay tuned for more insights as Election Day approaches."
7115129091451489582,https://www.tiktok.com/@abcnews/video/7115129091451489582,"Republicans are favored to win the House in November, while the Senate is a toss-up, according to the latest 2022 election forecast by @abcnews’ @fivethirtyeight. Nate Silver breaks it all down. #politics #forecast #fivethirtyeight #news #midterms #elections #natesilver",2022-06-30T20:14:49.000Z,344,7,12,26,26800,100,"politics, forecast, fivethirtyeight, news, midterms, elections, natesilver",ABC News,15300000,True,US,nate silver forecast,source,"fivethirtyeight, FiveThirtyEight, Nate Silver","description, hashtags, transcript",YES,"Today, this is Nate Silver with FiveThirtyEight, and we just launched our midterms forecast, which tells a somewhat complicated picture. In the House, things are a little bit clearer. Republicans are big favorites in the House, 85 to 90 percent chance of winning the House, our model thinks, and this reflects kind of the overall political environment. Typically, the president's party, Democrats in this case, lose seats at the midterms. President Biden's unpopular. His approval rating is no longer even cracking 40 percent. Races we've seen so far, like in Virginia last year, tended to favor the GOP, so all kind of like the big global signs about the political environment favor Republicans. That's going to be reflected most likely in a GOP picking up the House. But the Senate is a different story. Senate races are more individualized. In a lot of races, you have GOP candidates who are problematic in some respect or another. They may have said very conservative, unpopular things in the past. They may be inexperienced. They may have some type of scandal or all of the above. And so therefore, they might sacrifice some seats that they probably ought to win in an environment like this. And so we have the Senate as a toss up, meaning about 50-50. Every race can make a difference there. Finally, governorships. Governorships are more on a state by state basis. In general, Democrats are performing pretty well in the Midwest. They're likely to keep the governor's seats in Michigan, Wisconsin, probably Pennsylvania. Less success in the South. If you're a Beto O'Rourke fan, he's probably not going to win in Texas. Stacey Abrams is a fairly big underdog in Georgia. Ron DeSantis will probably win in Florida, another term there, the GOP governor. So a little bit more of a mixed message than you might think. If you want to learn more, check out the forecast at FiveThirtyEight.com. It updates literally every time we get a new poll."
7403020023473753376,https://www.tiktok.com/@tronto1001/video/7403020023473753376,Nate Silver Breaks Down Why FiveThirtyEight's 2024 Model Seems Wrong,2024-08-14T15:55:00.000Z,8,,1,2,839,61,,tronto1001,12800,False,US,nate silver forecast,source,"FiveThirtyEight, Nate Silver","description, transcript",YES,"I saw a headline on Mediaite the other day suggesting that you were displeased that FiveThirtyEight's been, like the forecast has been suspended. And you suggested, at least according to Mediaite, that this is being done for political reasons. Can you explain that? They had said back in July that their model had Biden doing substantially better than Kamala Harris, which I don't think made any sense at the time and definitely doesn't make any sense now, given the polling. I don't know why they don't have the model back on. It's one of the most fascinating periods in American political history. I mean, the amount of attention paid to anything having to do with the horse race and politics and polls is very high right now. If you leave a brand and they get to keep the brand name, I mean, FiveThirtyEight was, I'm no longer associated with it, but they have the brand name. It's a little bit of an awkward spot if you think they're putting out a product that doesn't live up to, I mean, I'm a demanding person, but it doesn't live up to the standards that you created."
7432541799333317930,https://www.tiktok.com/@jonathan.interviews/video/7432541799333317930,"Model validation techniques are critically important in data science work. Here, Nate Silver tests the empirical distribution of US election polling against what we would expect based on  the expected numerical distribution. #กรีนสกรีน  #datascience #datascientist #dataanalytics #2024elections #datasciencetok #statistics ",2024-11-02T04:58:21.000Z,54300,7571,5380,2311,1500000,211,"กรีนสกรีน, datascience, datascientist, dataanalytics, 2024elections, datasciencetok, statistics",Data Science Interviews,30600,False,TH,nate silver forecast,source,Nate Silver,"description, transcript",YES,"Nate Silver just came out with a pretty bombshell report suggesting that is almost guaranteed that the U.S. polling data is incorrect. In fact, he argues the probability that the U.S. election polling data is correct is less than 1 in 9 trillion. Now, he is using a data model validation technique that if you're a data scientist and you're running some fairly complicated models with weightings and different covariates and structures, this is really good practice. Now, there have been thousands of U.S. election polls in the United States, and they tend to have a margin of error of around like plus or minus 3 or 4 percentage points. But because this is essentially a one-to-one matchup, being plus or minus 3 points means that it should be a 6 percentage point gap between the two candidates. Right, so if they're actually tied, but you get a plus 3 errors per se like Kamala Harris, that takes away 3 from Donald Trump, and so the gap should be about 6. So when you think about a polling's margin of error or a confidence interval when you're doing a statistical model is that under repeated sampling, so if you repeat this experiment or if you repeat these polls and these surveys like over and over again, you should get a distribution of results that covers the span of this margin of error. So if the race was tied, you should get polls that are effectively normally distributed around a zero gap, but where there are outliers of plus 3, minus 3. And what Nate showed was if given the sample sizes of these polls, we should have seen no more than 55% of the polls being within 2.5 percentage points if the race was actually tied. So if the race was tied, we would expect to see the maximum number of close polls, right? So we don't even have to worry about the fact of the cases where they're not tied. But if the case was tied, we should see no more than 55% of the polls being within 2.5%. But in reality, we're seeing more than 80% of the polls that are being within plus or minus 2.5 percentage points. And given the number of polls and the sample size of these polls, Nate estimates the probability of this happening by random chance alone would be only 1 in 9.5 trillion. So the problem here is that it's really easy to lie with statistics, and this comes up with data scientists all the time when we're dealing with our stakeholders that basically want to hear the results that they want to hear. So these pollsters are going out and they're surveying people, but then they apply weights, and the weights are determined via a likely voter model that they have complete control over. So if they get a result that should be a normal outlier in random sampling that says, you know, Harris is up plus 4 or Trump is up plus 4, they will put their finger on the scale and they'll adjust these likely voter models so that it comes out closer to plus 1, minus 1 in either direction. And so what we're seeing here is that the empirical distribution of polling results is not what we would expect based on characteristics of the normal distribution and of the surveys and the sample sizes, and that is a huge red flag that there is a problem with the polling."
7433536658600955182,https://www.tiktok.com/@iliya2358/video/7433536658600955182,Quantitative finance and election forecasting: Can you predict the US election?#quant #finance #bank #fintok #science #physics #math #mathematics #election #president #usa🇺🇸 #538 #fivethirtyeight #blackswan #nassimtaleb #natesilver ,2024-11-04T21:18:50.000Z,91,6,8,9,2323,144,"quant, finance, bank, fintok, science, physics, math, mathematics, election, president, usa🇺🇸, 538, fivethirtyeight, blackswan, nassimtaleb, natesilver",iliya,2810,False,US,nate silver forecast,source,"fivethirtyeight, 538, FiveThirtyEight, Nate Silver","description, hashtags, transcript",NO,"Tomorrow is the U.S. presidential election. As always, there's a lot of debate on whether polls and forecasts can accurately predict the outcome. Nate Silver, the founder of FiveThirtyEight, and Nassib Tlaib, a former quant and author known for his works on uncertainty, have publicly debated the best approach for predicting these outcomes. Tlaib suggests using a finance-based perspective. If you give odds for some outcome, you should be willing to transact at the price those odds imply. Let me give you an example. Let's say I think the Newark Jets have a 75% chance of beating the Arizona Cardinals next week in the NFL game. This implies a fair money-line bet of minus $133 on the Jets and plus $400 on the Cardinals. This price is fair because I am willing to take either side of the bet. The higher payout for the Cardinals balances out the worse odds and vice versa for the Jets. In finance, this fair price is crucial. It prevents opportunities for arbitrage in markets. Tlaib argues that election predictions should meet this same standard. He takes issue with how forecasters may leave room for arbitrage by allowing large swings in odds. Now this setup has a parallel in finance, a financial derivative called a digital option. This contract pays 1 if an asset ends up above a set strike price and 0 if not. Here think of the asset's price as the vote share and the strike price as the win threshold. Now here's the interesting point. As uncertainty or volatility increases for the digital option, the price of the digital option will tend to 0.5 or a half, implying even odds for either side of the bet. Now the interesting thing is this is true no matter the current level of the asset price and no matter the strike price. Here's a plot demonstrating that for various digital option contracts. So as election day approaches and uncertainty grows, the prediction should theoretically hover around 50-50 odds, making it a coin toss. You can actually see this play out with how election betting odds have moved over the past few days. What we can take from this is that if anyone assumes to know exactly what the outcome of the selection is going to be, they are not actually taking into account of true uncertainty."
7627952693948058910,https://www.tiktok.com/@facethenation/video/7627952693948058910,"Sen. Mark Warner (D-VA) said Sunday that “even if President Trump declares victory"" in Iran, ""high gas prices will be with us for months” due to the economic shock of the war. “Asian countries are shutting down their economies one day a week because the price of oil is skyrocketing so much,” he said. “We buy a lot of stuff from Taiwan, South Korea, and countries around Asia. All those prices are going up.” #gas #poll #iran #war #trump ",2026-04-12T19:12:34.000Z,168,1,13,13,10700,75,"gas, poll, iran, war, trump",Face The Nation,844700,True,US,nate silver forecast,generic_only,,"description, hashtags",YES,"We see broad dissatisfaction with how the administration's handling the war. But as for, you know, the aspirations, Americans broadly support them. 87% say the Strait of Hormuz needs to be reopened. 81% want to ensure freedom for the Iranian people. 76% want to permanently stop Iran's nuclear program. 55% want the current leaders ousted before we end the war. Do you sort of want to see us finish what America has started here? Can you really just hit the brakes? I agree with all of the goals of the American people, but when you take, ask the next question, are you willing to put your sons and daughters in a ground war in the Middle East to get that enriched uranium out? I've not found any volunteers on that. The Strait of Hormuz was open before this war started. Gas in Virginia was $2.81 40 days ago. It is over $4 now. Even if president declares victory tomorrow, those high gas prices will be with us for months. And it's natural gas, not just gasoline. Asian countries are shutting down their economies one day a week because the price of oil is skyrocketing so much. We buy a lot of stuff from Taiwan, South Korea, and countries around Asia. All those prices are going up."
